source;target;weight
3320;3320;1
3320;4321;2
3320;4322;6
3320;4329;1
3320;4399;1
3320;4531;1
3320;4641;1
3320;4669;3
3320;4669;3
3320;6820;3
3320;6832;1
3320;7112;1
3320;8121;1
3320;9329;1
3320;9529;2
3320;2562;1
3320;2620;2
3320;2630;1
3320;2651;3
3320;2712;2
3320;2733;1
3320;2814;1
3320;2825;1
3320;2899;5
3320;3312;2
3320;3313;1
3320;3320;1
3320;4321;1
3320;4322;1
3320;4652;1
3320;4669;1
3320;6201;1
3320;6209;1
3320;6810;1
3320;6820;2
3320;7022;1
3320;7112;1
3320;8559;1
3320;2511;1
3320;2630;1
3320;2651;1
3320;2712;1
3320;2733;1
3320;2790;1
3320;2899;1
3320;3312;2
3320;3313;2
